Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24
Wantirna South,Insportz Knox,108 Lewis Road,VIC,3152,2021-05-20,20/05/2021,6:30pm - 8:30pm,Case attended venue,2021-05-26,26/05/2021,10:31 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:30:00,20:30:00
Mill Park,"Degani, Westfield Plenty Valley",415 Mcdonalds Road,VIC,3082,2021-05-23,23/05/2021,11:30am - 2:00pm,Case attended venue,2021-05-26,26/05/2021,11:08 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,11:30:00,14:00:00
Doncaster,Betty's Burgers & Concrete Co. (Westfield Doncaster) ,"Tenancy R1 & R2, Level 2, 619 Doncaster Road",VIC,3108,2021-05-23,23/05/2021,7:40pm - 9:30pm,Case attended venue,2021-05-27,27/05/2021,12:20 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,19:40:00,21:30:00
Lalor,Everfresh Fruit Market,346 Station Street,VIC,3075,2021-05-14,14/05/2021,11:30am - 12:30pm,Case attended venue,2021-05-27,27/05/2021,12:20 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",11:30:00,12:30:00
Lalor,Fruits of Lalor,328 Station Street,VIC,3075,2021-05-14,14/05/2021,11:30am - 12:30pm,Case attended venue,2021-05-27,27/05/2021,12:20 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",11:30:00,12:30:00
Lalor,No. 1 Fruit Market,37 May Road,VIC,3075,2021-05-14,14/05/2021,11:30am - 12:30pm,Case attended venue,2021-05-27,27/05/2021,12:20 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",11:30:00,12:30:00
Coburg,Pentridge Cinema Coburg (Palace Cinema),1 Champ Street,VIC,3058,2021-05-24,24/05/2021,6:45pm - 9:30pm,Case attended venue. Tier 2 advice applies for patrons who attended the cinema at this time but who did not attend the 7pm screening of 'Those Who Wish Me Dead'.,2021-05-27,27/05/2021,3:30 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",18:45:00,21:30:00
Tullamarine ,BP Tullamarine ,Corner of Airport Drive and Link Road ,VIC,3045,2021-05-24,24/05/2021,10:30am - 11:30am,"Case attended venue twice on the same day, refer to other listing",2021-05-27,27/05/2021,3:30 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",10:30:00,11:30:00
Tullamarine ,BP Tullamarine ,Corner of Airport Drive and Link Road ,VIC,3045,2021-05-24,24/05/2021,4:30pm - 5:30pm,"Case attended venue twice on the same day, refer to other listing",2021-05-27,27/05/2021,3:30 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",16:30:00,17:30:00
Bundoora,Bung Pai Thai Massage Bundoora,11/1320 Plenty Road,VIC,3083,2021-05-24,24/05/2021,4:15pm - 6:15pm,Case attended venue,2021-05-27,27/05/2021,3:30 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,16:15:00,18:15:00
Yarraville,Focus Health & Fitness,121-123 Hyde Street,VIC,3013,2021-05-24,24/05/2021,6:30am - 7:30am,Case attended venue,2021-05-27,27/05/2021,3:30 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,06:30:00,07:30:00
Carlton,Green Man's Arms,418 Lygon Sreet,VIC,3053,2021-05-23,23/05/2021,1:20pm - 2:15pm,Case dined at venue,2021-05-27,27/05/2021,3:30 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,13:20:00,14:15:00
Seddon,Caprice Hair & Beauty,101 Charles Street,VIC,3011,2021-05-22,22/05/2021,1:15pm - 1:40pm,Case attended venue,2021-05-27,27/05/2021,3:30 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,13:15:00,13:40:00
South Melbourne,Anytime Fitness South Melbourne,63-69 Market Street,VIC,3205,2021-05-20,20/05/2021,6:15am - 7:15am,Case attended venue,2021-05-27,27/05/2021,3:30 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,06:15:00,07:15:00
South Melbourne,Anytime Fitness South Melbourne,63-69 Market Street,VIC,3205,2021-05-21,21/05/2021,6:15am - 7:15am,Case attended venue,2021-05-27,27/05/2021,3:30 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,06:15:00,07:15:00
South Melbourne,Anytime Fitness South Melbourne,63-69 Market Street,VIC,3205,2021-05-24,24/05/2021,6:15am - 7:15am,Case attended venue,2021-05-27,27/05/2021,3:30 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,06:15:00,07:15:00
South Melbourne,Anytime Fitness South Melbourne,63-69 Market Street,VIC,3205,2021-05-25,25/05/2021,6:00am - 7:00am,Case attended venue,2021-05-27,27/05/2021,3:30 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,06:00:00,07:00:00
Fitzroy,Peko Peko Fitzroy,199 Smith Street,VIC,3065,2021-05-22,22/05/2021,6:30pm - 7:45pm,Case dined at venue,2021-05-27,27/05/2021,3:30 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:30:00,19:45:00
Aspendale Gardens,Chelsea Heights Hotel,Springvale Road & Wells Road,VIC,3196,2021-05-23,23/05/2021,12:10pm - 1:30pm,Case dined at venue,2021-05-27,27/05/2021,3:30 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:10:00,13:30:00
Brunswick,OPSM Barkly Square,"Barkly Square Shopping Centre, 90-160 Sydney Rd",VIC,3056,2021-05-22,22/05/2021,3:45pm - 4:15pm,Case attended venue,2021-05-27,27/05/2021,3:30 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",15:45:00,16:15:00
Cranbourne,LeNails Cranbourne,"Shop 101 Cranbourne Park Shopping Centre, High Street",VIC,3977,2021-05-22,22/05/2021,1:15pm - 2:15pm,Case attended venue,2021-05-27,27/05/2021,4:37 am,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,13:15:00,14:15:00
Coburg,Pentridge Cinema Coburg (Palace Cinema) - 7pm screening of 'Those Who Wish Me Dead',1 Champ Street,VIC,3058,2021-05-24,24/05/2021,6:45pm - 9:30pm,Case attended 7pm screening of 'Those Who Wish Me Dead'. Please see additional site for those that attended the cinema at the times of concern but who did not attend this screening.,2021-05-27,27/05/2021,3:38 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:45:00,21:30:00
Moonee Ponds,Moonee Valley Football Club - Ormond Park Spectators at (Men's 3rds Match Moonee Valley VS Hillside Sharks),2A Pattison Steet,VIC,3039,2021-05-22,22/05/2021,12:00pm - 5:30pm,Case attended football game,2021-05-27,27/05/2021,7:02 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",12:00:00,17:30:00
Moonee Ponds,Moonee Valley Football Club - Ormond Park Function Room/Bar,2A Pattison Steet,VIC,3039,2021-05-22,22/05/2021,4:00pm - 6:00pm,Case attended venue,2021-05-27,27/05/2021,7:02 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,16:00:00,18:00:00
Moonee Ponds,Moonee Valley Football Club - Ormond Park (Male Change Rooms),2A Pattison Steet,VIC,3039,2021-05-22,22/05/2021,12:00pm - 4:00pm,"	
Case attended venue",2021-05-27,27/05/2021,7:02 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:00:00,16:00:00
Port Melbourne,Hunky Dory Fish & Chips,3/181 Bay Street,VIC,3207,2021-05-21,21/05/2021,12:00pm - 2:00pm,Case attended venue,2021-05-27,27/05/2021,6:32 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:00:00,14:00:00
Tullamarine ,7-Eleven Tullamarine (Carrick Drive),182 Melrose Drive,VIC,3043,2021-05-22,22/05/2021,11:50am - 11:55am,Case attended venue,2021-05-27,27/05/2021,7:05 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",11:50:00,11:55:00
Craigieburn,The Coffee Club - Craigieburn Central,"Craigieburn Central, Shop B00, 15/350 Craigieburn Road",VIC,3064,2021-05-23,23/05/2021,10:00am - 11:30am,Case attended venue,2021-05-27,27/05/2021,7:12 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,10:00:00,11:30:00
Mickleham,Botanical Display Homes (Botanical Display Village),23-25 Poppy Street,VIC,3063,2021-05-23,23/05/2021,11:15am - 1:00pm,Case attended venue,2021-05-27,27/05/2021,7:12 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,11:15:00,13:00:00
Docklands,Network Public Bar,14/99 Spencer Street,VIC,3008,2021-05-23,23/05/2021,3:30pm - 5:00pm,Case attended venue,2021-05-27,27/05/2021,7:12 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,15:30:00,17:00:00
Docklands,Hungry Jacks - Southern Cross Station,14/99 Spencer Street,VIC,3008,2021-05-23,23/05/2021,7:30pm - 7:40pm,Case attended venue,2021-05-27,27/05/2021,7:12 pm,Tier 3 - Monitor for symptoms,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",19:30:00,19:40:00
South Wharf,Roll'd DFO,"DFO South Wharf, 20 Convention Center Place",VIC,3006,,,12:15pm - 1:15pm,Case attended venue,2021-05-27,27/05/2021,7:12 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",12:15:00,13:15:00
South Wharf,Boost Juice DFO,"DFO South Wharf, 20 Convention Center Place",VIC,3006,2021-05-24,24/05/2021,12:15pm - 1:15pm,Case attended venue,2021-05-27,27/05/2021,7:12 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",12:15:00,13:15:00
South Wharf,DFO Food Court,"DFO South Wharf, 20 Convention Center Place",VIC,3006,2021-05-24,24/05/2021,12:15pm - 1:15pm,Case attended venue,2021-05-27,27/05/2021,7:12 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",12:15:00,13:15:00
Docklands,"Southern Cross Station, Toilets Under Bourke Street Bridge",14/99 Spencer Street,VIC,3059,2021-05-23,23/05/2021,7:35pm - 8:15pm,Case attended venue,2021-05-27,27/05/2021,7:42 am,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",19:35:00,20:15:00
Greenvale,Chemist Warehouse,"Shop 4, 212 - 220 Greenvale Drive",VIC,3059,2021-05-25,25/05/2021,12:50pm - 1:30pm,Case attended venue,2021-05-27,27/05/2021,7:42 am,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",12:50:00,13:30:00
Greenvale,Barrymore Medical Centre,9 Barrymore Road,VIC,3059,2021-05-25,25/05/2021,12:25pm - 1:30pm,Case attended venue,2021-05-27,27/05/2021,9:20 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:25:00,13:30:00
Carlton,"RMIT Campus, Building 57 (Edward Jackson Building)",53 Lygon Street,VIC,3053,2021-05-13,13/05/2021,8:00am - 4:00pm,Case attended venue,2021-05-27,27/05/2021,9:20 pm,Tier 3 - Monitor for symptoms,"Anyone who has visited this location during these times should monitor for symptoms - If symptoms develop, immediately get tested and isolate until you receive a negative result.",08:00:00,16:00:00
Hampton,Body Fit Training Hampton,Shop 4-6/498 Hampton Street,VIC,3188,2021-05-24,24/05/2021,5:35pm - 7:00pm,Case attended venue,2021-05-27,27/05/2021,9:37 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:35:00,19:00:00
Hampton,Body Fit Training Hampton,Shop 4-6/498 Hampton Street,VIC,3188,2021-05-25,25/05/2021,5:21pm - 7:00pm,Case attended venue,2021-05-27,27/05/2021,9:37 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:21:00,19:00:00
Reservoir,Edwardes Lake Playground,Edwardes Lake,VIC,3073,2021-05-23,23/05/2021,5:15pm - 6:00pm,Case attended venue,2021-05-28,28/05/2021,11:06 am,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",17:15:00,18:00:00
South Melbourne,Miss China Noodle Bar (within Clarendon Centre),Shop G08/261 Clarendon Street,VIC,3205,2021-05-25,25/05/2021,12:40pm - 1:40pm,Case attended venue,2021-05-28,28/05/2021,11:06 am,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:40:00,13:40:00
South Melbourne,Telstra Shop,Shop G01/265 Clarendon Street,VIC,3205,2021-05-24,24/05/2021,9:15am - 5:30pm,Case worked at venue,2021-05-28,28/05/2021,11:06 am,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,09:15:00,17:30:00
South Melbourne,Telstra Shop,Shop G01/265 Clarendon Street,VIC,3205,2021-05-25,25/05/2021,9:15am - 5:30pm,Case worked at venue,2021-05-28,28/05/2021,11:06 am,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,09:15:00,17:30:00
South Melbourne,Hunky Dory Fish & Chips,252 Clarendon Street,VIC,3205,2021-05-24,24/05/2021,1:00pm - 2:00pm,Case attended venue,2021-05-28,28/05/2021,11:06 am,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,13:00:00,14:00:00
Thomastown,7-Eleven Thomastown North,Cnr Edgars Road & Main Street,VIC,3074,2021-05-23,23/05/2021,5:45pm - 6:15pm,Case attended venue,2021-05-28,28/05/2021,11:06 am,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:45:00,18:15:00
Preston,Preston City Hall,284 Gower Street,VIC,3071,2021-05-22,22/05/2021,9:30am - 11:00am,Case attended venue for flu vaccine,2021-05-28,28/05/2021,12:39 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,09:30:00,11:00:00
Brunswick East,Dan Murphy's Brunswick East,"513 Lygon St, Brunswick East ",VIC,3057,2021-05-22,22/05/2021,2:30pm - 3:00pm,Case attended venue,2021-05-28,28/05/2021,3:08 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",14:30:00,15:00:00
Epping,The Grande Reception & Function Centre,6-8 Helm Court,VIC,3076,2021-05-22,22/05/2021,6:30pm - 11:45pm,Case attended venue,2021-05-28,28/05/2021,3:08 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:30:00,23:45:00
South Melbourne,Clarendon Centre - Female public toilets,261 Clarendon Street,VIC,3205,2021-05-25,25/05/2021,9:15am - 6:45pm,Case attended venue,2021-05-28,28/05/2021,4:15 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,09:15:00,18:45:00
South Melbourne,Clarendon Centre - Female public toilets,261 Clarendon Street,VIC,3205,2021-05-24,24/05/2021,9:15am - 6:15pm,Case attended venue,2021-05-28,28/05/2021,4:15 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,09:15:00,18:15:00
Maribyrnong,JB Hi Fi,Shop 159-163 Rosamond Road,VIC,3032,2021-05-23,23/05/2021,12:05pm - 12:15pm,Case attended venue,2021-05-28,28/05/2021,4:15 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",12:05:00,12:15:00
Maribyrnong,The Good Guys,2-6 Sloane Street,VIC,3032,2021-05-23,23/05/2021,12:20pm - 12:35pm,Case attended venue,2021-05-28,28/05/2021,4:15 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",12:20:00,12:35:00
Yarraville,Coles Yarraville,Cnr Williamstown Road & High Street,VIC,3013,2021-05-23,23/05/2021,3:00pm - 3:30pm,Case attended venue,2021-05-28,28/05/2021,4:15 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",15:00:00,15:30:00
Epping,Epping Spices & Nuts Grocery Store,6/1 Lyndarum Drive,VIC,3076,2021-05-22,22/05/2021,9:00am - 9:00pm,Case attended venue,2021-05-28,28/05/2021,4:15 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,09:00:00,21:00:00
Epping,Epping Spices & Nuts Grocery Store,6/1 Lyndarum Drive,VIC,3076,2021-05-24,24/05/2021,9:00am - 9:00pm,Case attended venue,2021-05-28,28/05/2021,4:15 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,09:00:00,21:00:00
Epping,Epping Spices & Nuts Grocery Store,6/1 Lyndarum Drive,VIC,3076,2021-05-25,25/05/2021,9:00am - 9:00pm,Case attended venue,2021-05-28,28/05/2021,4:15 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,09:00:00,21:00:00
Epping,Epping Spices & Nuts Grocery Store,6/1 Lyndarum Drive,VIC,3076,2021-05-26,26/05/2021,9:00am - 9:00pm,Case attended venue,2021-05-28,28/05/2021,4:15 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,09:00:00,21:00:00
Mill Park,"Star Car Wash 1, Westfield Plenty Valley",52/415 McDonalds Rd,VIC,3082,2021-05-22,22/05/2021,8:00am - 5:30pm,Case attended venue,2021-05-28,28/05/2021,4:15 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,08:00:00,17:30:00
Mill Park,"Star Car Wash 1, Westfield Plenty Valley",52/415 McDonalds Rd,VIC,3082,2021-05-23,23/05/2021,8:00am - 5:30pm,Case attended venue,2021-05-28,28/05/2021,4:15 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,08:00:00,17:30:00
Mill Park,"Star Car Wash 1, Westfield Plenty Valley",52/415 McDonalds Rd,VIC,3082,2021-05-25,25/05/2021,8:00am - 5:30pm,Case attended venue,2021-05-28,28/05/2021,4:15 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,08:00:00,17:30:00
Mill Park,"Star Car Wash 1, Westfield Plenty Valley",52/415 McDonalds Rd,VIC,3082,2021-05-26,26/05/2021,8:00am - 5:30pm,Case attended venue,2021-05-28,28/05/2021,4:15 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,08:00:00,17:30:00
Reservoir,Healthy India ,276 Broadway,VIC,3073,2021-05-27,27/05/2021,9:30am - 2:00pm,Case attended venue,2021-05-28,28/05/2021,4:15 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,09:30:00,14:00:00
Reservoir,Vicfields Summerhill Shopping Centre,850 Plenty Road,VIC,3073,2021-05-18,18/05/2021,4:20pm - 5:30pm,Case attended venue,2021-05-28,28/05/2021,4:42 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,16:20:00,17:30:00
Epping,Khalsa Sweets and Snacks,3 Annalise Avenue,VIC,3076,2021-05-18,18/05/2021,12:20pm - 1:10pm,Case attended venue,2021-05-28,28/05/2021,4:42 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:20:00,13:10:00
Wollert,Erol's Fruit Shop,319 Harvest Home Road,VIC,3750,2021-05-18,18/05/2021,11:25am - 12:10pm,Case attended venue,2021-05-28,28/05/2021,4:42 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,11:25:00,12:10:00
Wollert,Hamara Bazaar,315 Harvest Home Road,VIC,3750,2021-05-18,18/05/2021,10:30am - 11:30am,Case attended venue,2021-05-28,28/05/2021,4:42 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,10:30:00,11:30:00
Craigieburn,Dosa Hut Craigieburn,Shop D1/420-440 Craigieburn Road,VIC,3064,2021-05-25,25/05/2021,5:45pm - 7:15pm,Case attended venue,2021-05-28,28/05/2021,4:48 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:45:00,19:15:00
Epping,Indiagate Spices and Groceries ,"Unit 14C, 560-590 High Street",VIC,3076,2021-05-19,19/05/2021,9:45am - 10:30am,Case attended venue,2021-05-28,28/05/2021,4:48 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,09:45:00,10:30:00
Carrum Downs,Sabrini Foods,77 Boundary Road,VIC,3201,2021-05-19,19/05/2021,2:00pm - 6:00pm,Case attended venue,2021-05-28,28/05/2021,4:58 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,14:00:00,18:00:00
Dandenong,Spice Inn Groceries,4 16-46 Cleeland Street,VIC,3175,2021-05-19,19/05/2021,1:00pm - 1:40pm,Case attended venue,2021-05-28,28/05/2021,4:58 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,13:00:00,13:40:00
Dandenong,Bestway Supermarket,200-208 Lonsdale Street,VIC,3175,2021-05-19,19/05/2021,12:15pm - 1:15pm,Case attended venue,2021-05-28,28/05/2021,4:58 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,12:15:00,13:15:00
Dandenong,Bestway Supermarket,21-23 Cleeland Street,VIC,3175,2021-05-19,19/05/2021,1:00pm - 1:40pm,Case attended venue,2021-05-28,28/05/2021,4:58 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,13:00:00,13:40:00
Dandenong,Marmara Halal Meats,141- 145 Lonsdale Street,VIC,3175,2021-05-19,19/05/2021,11:35am - 12:25pm,Case attended venue,2021-05-28,28/05/2021,5:25 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,11:35:00,12:25:00
Bundoora,"La Trobe University, Library Level 1",Plenty Road & Kingsbury Drive,VIC,3086,2021-05-25,25/05/2021,11:45am - 2:30pm,Case attended venue,2021-05-29,29/05/2021,12:02 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,11:45:00,14:30:00
Glen Iris,Coles Tooronga Village,Tooronga Road,VIC,3146,2021-05-23,23/05/2021,4:00pm - 4:30pm,Case attended venue,2021-05-29,29/05/2021,12:30 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",16:00:00,16:30:00
Fingal,Peninsula Hot Springs (Bathhouse Reception Only),140 Springs Lane,VIC,3939,2021-05-21,21/05/2021,3:00pm - 3:45pm,Case attended reception area only,2021-05-29,29/05/2021,1:56 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,15:00:00,15:45:00
Craigieburn,Edu-Kingdom College,67A Hamilton Street,VIC,3064,2021-05-22,22/05/2021,1:20pm - 5:00pm,Case attended venue,2021-05-29,29/05/2021,1:59 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,13:20:00,17:00:00
