Suburb,Site_title,Site_streetaddress,Site_state,Site_postcode,Exposure_date_dtm,Exposure_date,Exposure_time,Notes,Added_date_dtm,Added_date,Added_time,Advice_title,Advice_instruction,Exposure_time_start_24,Exposure_time_end_24
Epping,Woolworths Epping,Shop Number Q003. Pacific Epping Cooper Street & High street,VIC,3076,2021-05-20,20/05/2021,6:25pm - 7:15pm,Case attended venue,2021-05-26,26/05/2021,12:46 am,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:25:00,19:15:00
Epping,Woolworths Epping North,"Shop 13, 2 Lyndarum Drive",VIC,3076,2021-05-22,22/05/2021,4:45pm - 5:45pm,Case attended venue,2021-05-24,24/05/2021,4:19 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,16:45:00,17:45:00
Fitzroy North,Secco and Co,414 Nicholson Street,VIC,3068,2021-05-22,22/05/2021,7:35pm - 8:55pm,Case attended party,2021-05-26,26/05/2021,12:46 am,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,19:35:00,20:55:00
Lalor,Deep Indian Supermarket,3/494 High Street,VIC,3075,2021-05-20,20/05/2021,7:00pm - 8:30pm,Case attended venue,2021-05-25,25/05/2021,9:45 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",19:00:00,20:30:00
Lalor,Everfresh Fruit Market,346 Station Street,VIC,3075,2021-05-19,19/05/2021,12:00pm - 1:00pm,Case attended venue,2021-05-25,25/05/2021,9:45 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",12:00:00,13:00:00
Lalor,Fruits of Lalor,328 Station Street,VIC,3075,2021-05-19,19/05/2021,12:00pm - 1:00pm,Case attended venue,2021-05-25,25/05/2021,9:45 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",12:00:00,13:00:00
Lalor,No. 1 Fruit Market,37 May Road,VIC,3075,2021-05-19,19/05/2021,12:00pm - 1:00pm,Case attended venue,2021-05-25,25/05/2021,9:45 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",12:00:00,13:00:00
Maribyrnong,"Highpoint Shopping Centre, all other areas on Levels 2 and 3 excluding specific shops listed as Tier 1 sites","Levels 2 & 3, 120-200 Rosamond Road",VIC,3032,2021-05-20,20/05/2021,5:15pm - 6:35pm,"Case attended venue. If you attended one of the shops listed as Tier 1 (Lush Cosmetics, Toyworld, Smiggle, Kidstuff, Ishka), see specific shop instructions",2021-05-24,24/05/2021,12:50 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",17:15:00,18:35:00
Maribyrnong,"Ishka, Highpoint Shopping Centre","Level 2, 120-200 Rosamond Road",VIC,3032,2021-05-20,20/05/2021,5:45pm - 6:20pm,Case attended venue,2021-05-24,24/05/2021,12:50 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:45:00,18:20:00
Maribyrnong,"Kidstuff, Highpoint Shopping Centre","Level 2, 120-200 Rosamond Road",VIC,3032,2021-05-20,20/05/2021,5:20pm - 5:55pm,Case attended venue,2021-05-24,24/05/2021,12:50 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:20:00,17:55:00
Maribyrnong,"Lush Cosmetics, Highpoint Shopping Centre","Level 2, 120-200 Rosamond Road",VIC,3032,2021-05-20,20/05/2021,6:05pm - 6:35pm,Case attended venue,2021-05-24,24/05/2021,12:50 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,18:05:00,18:35:00
Maribyrnong,"Smiggle, Highpoint Shopping Centre","Level 3, 120-200 Rosamond Road",VIC,3032,2021-05-20,20/05/2021,5:55pm - 6:30pm,Case attended venue,2021-05-24,24/05/2021,12:50 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:55:00,18:30:00
Maribyrnong,"Toyworld, Highpoint Shopping Centre","Level 2, 120-200 Rosamond Road",VIC,3032,2021-05-20,20/05/2021,5:30pm - 6:20pm,Case attended venue,2021-05-24,24/05/2021,12:50 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,17:30:00,18:20:00
Melbourne,Bamboo House,47 Little Bourke Street,VIC,3000,2021-05-21,21/05/2021,11:00am - 11:50am,Case attended venue,2021-05-24,24/05/2021,12:50 pm,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,11:00:00,11:50:00
Mill Park,Bunnings Warehouse,761 Plenty Road,VIC,3082,2021-05-20,20/05/2021,4:00pm - 6:30pm,Case attended venue,2021-05-25,25/05/2021,9:45 pm,Tier 2 - Get tested urgently and isolate until you have a negative result,"Anyone who has visited this location during these times is strongly encouraged to urgently get a test and isolate until they receive a negative result.
",16:00:00,18:30:00
Port Melbourne,Bay 101 Cafe,7/101 Bay Street,VIC,3207,2021-05-24,24/05/2021,7:30am - 8:20am,Case sat inside venue,2021-05-26,26/05/2021,12:46 am,Tier 1 - Get tested immediately and quarantine for 14 days from exposure,Anyone who has visited this location during these times must get tested immediately and quarantine for 14 days from the exposure.,07:30:00,08:20:00
